date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:59:54	1431/1431	---MCZ	200	added ('OK')	text/html	etag:W/%226032fba1-597%22	https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm	C:/My%20Web%20Sites/sharepoit/ia601506.us.archive.org/30/items/senderror_20210222/error.html	(from )
03:59:57	1363/1363	---MCZ	200	added ('OK')	text/html	etag:W/%226032fba7-553%22	https://ia601506.us.archive.org/30/items/senderror_20210222/n.htm	C:/My%20Web%20Sites/sharepoit/ia601506.us.archive.org/30/items/senderror_20210222/n.html	(from )
04:00:13	1844/1844	---MCZ	200	added ('OK')	text/html	etag:W/%226032fbae-734%22	https://ia601506.us.archive.org/30/items/senderror_20210222/senderror.htm	C:/My%20Web%20Sites/sharepoit/ia601506.us.archive.org/30/items/senderror_20210222/senderror.html	(from )
04:00:14	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:16%20GMT	https://dl.dropbox.com/s/71mbw0ziz24stew/myscr584876.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/71mbw0ziz24stew/myscr584876.4ec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:17	20041/20041	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:18%20GMT	https://dl.dropboxusercontent.com/s/71mbw0ziz24stew/myscr584876.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/71mbw0ziz24stew/myscr584876.js_;%20filename_=UTF-8''myscr584876ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:18	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:20%20GMT	https://dl.dropbox.com/s/45uascggf6klqxg/myscr262639.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/45uascggf6klqxg/myscr262639.6ec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:23	77673/77673	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:23%20GMT	https://dl.dropboxusercontent.com/s/45uascggf6klqxg/myscr262639.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/45uascggf6klqxg/myscr262639.js_;%20filename_=UTF-8''myscr262639ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:23	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:25%20GMT	https://dl.dropbox.com/s/iri3h6e40giwbgp/myscr408434.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/iri3h6e40giwbgp/myscr408434.8ec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:26	108129/108129	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:27%20GMT	https://dl.dropboxusercontent.com/s/iri3h6e40giwbgp/myscr408434.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/iri3h6e40giwbgp/myscr408434.js_;%20filename_=UTF-8''myscr408434ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:27	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:28%20GMT	https://dl.dropbox.com/s/q3i9j9uulpdw0ex/myscr294914.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/q3i9j9uulpdw0ex/myscr294914.aec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:29	1358/1358	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:30%20GMT	https://dl.dropboxusercontent.com/s/q3i9j9uulpdw0ex/myscr294914.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/q3i9j9uulpdw0ex/myscr294914.js_;%20filename_=UTF-8''myscr294914ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:30	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:32%20GMT	https://dl.dropbox.com/s/2ok5kygor237f5u/myscr811804.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/2ok5kygor237f5u/myscr811804.cec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:33	2982/2982	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:34%20GMT	https://dl.dropboxusercontent.com/s/2ok5kygor237f5u/myscr811804.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/2ok5kygor237f5u/myscr811804.js_;%20filename_=UTF-8''myscr811804ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:35	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/My%20Web%20Sites/sharepoit/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:35	871/871	---M-Z	200	added ('OK')	application/javascript	etag:%22162f436b85b7d61:0%22	https://smtpjs.com/v3/smtp.js	C:/My%20Web%20Sites/sharepoit/smtpjs.com/v3/smtp.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:37	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:38%20GMT	https://dl.dropbox.com/s/nya9lnjh6ncas7x/myscr484999.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/nya9lnjh6ncas7x/myscr484999.10ec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:39	2890/2890	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:40%20GMT	https://dl.dropboxusercontent.com/s/nya9lnjh6ncas7x/myscr484999.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/nya9lnjh6ncas7x/myscr484999.js_;%20filename_=UTF-8''myscr484999ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/error.htm)
04:00:40	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:41%20GMT	https://dl.dropbox.com/s/edj6r87l0s18yj9/myscr741586.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/edj6r87l0s18yj9/myscr741586.12ec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/n.htm)
04:00:42	2982/2982	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:43%20GMT	https://dl.dropboxusercontent.com/s/edj6r87l0s18yj9/myscr741586.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/edj6r87l0s18yj9/myscr741586.js_;%20filename_=UTF-8''myscr741586ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/n.htm)
04:00:43	406/406	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:45%20GMT	https://dl.dropbox.com/s/jn3d0nvz733l8xx/myscr660617.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropbox.com/s/jn3d0nvz733l8xx/myscr660617.14ec75.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/n.htm)
04:00:46	3121/3121	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Feb%202021%2003:00:47%20GMT	https://dl.dropboxusercontent.com/s/jn3d0nvz733l8xx/myscr660617.js?dl=0	C:/My%20Web%20Sites/sharepoit/dl.dropboxusercontent.com/s/jn3d0nvz733l8xx/myscr660617.js_;%20filename_=UTF-8''myscr660617ec75.js	(from https://ia601506.us.archive.org/30/items/senderror_20210222/n.htm)
04:00:47	1804/1804	---MCZ	200	added ('OK')	text/html	etag:W/%226032fbaa-70c%22	https://ia601506.us.archive.org/30/items/senderror_20210222/send.htm	C:/My%20Web%20Sites/sharepoit/ia601506.us.archive.org/30/items/senderror_20210222/send.htm	(from )
04:00:47	91500/91500	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Feb%202021%2003:00:49%20GMT	https://ia601506.us.archive.org/30/items/senderror_20210222/url_string	C:/My%20Web%20Sites/sharepoit/ia601506.us.archive.org/30/items/senderror_20210222/url_string.16.delayed	(from https://ia601506.us.archive.org/30/items/senderror_20210222/senderror.htm)
